HSV Percentage,B Mean,G Mean,R Mean,Overall Mean,contours,OTSU,Class Name
0.54,176.001275,180.304475,176.059775,178.7647,2,4,Building
0.6025,156.147125,160.8158,155.921475,159.112275,1,4,Building
25.687500000000004,100.72935,105.4197,102.793575,104.141575,1,3,Building
20.3425,136.499975,142.7404,139.40065,141.314925,1,2,Building
13.255,153.042075,156.5702,149.824675,154.821025,1,3,Building
7.1775,172.620675,182.4553,178.867125,180.718825,1,3,Building
28.542499999999997,143.9584,150.2676,143.67875,148.0043,1,2,Building
0.0,222.4635,224.474425,225.463925,225.4518,1,3,Building
0.0,212.122975,214.9295,216.2665,215.638525,1,3,Building
41.8775,132.687475,140.769075,135.672075,138.5848,1,1,Building
34.96,108.512,113.5949,108.3151,111.28665,1,1,Building
13.395000000000001,115.8754,122.4441,122.48885,122.0747,1,2,Building
33.815,108.9628,116.98405,108.33955,113.9333,1,3,Building
30.895,134.5059,146.28145,139.34845,142.90805,1,2,Building
79.755,74.85335,86.0403,69.6653,79.58535,0,1,Building
12.795000000000002,158.0311,157.56785,157.3493,157.41695,1,1,Building
19.77,144.11095,143.1971,139.97845,142.21215,1,1,Building
1.1875,173.4084,178.654,174.741075,178.4867,1,3,Building
2.255,151.39345,155.397125,150.1652,154.2861,1,2,Building
1.375,182.861325,188.490375,187.8221,187.924525,1,3,Building
3.9875000000000003,175.428825,181.6654,181.31155,181.030225,1,3,Building
5.2124999999999995,169.681425,173.9572,182.5691,176.083725,1,2,Building
2.2025,185.204975,190.0856,190.660375,189.702225,1,2,Building
24.337500000000002,143.6081,157.60415,153.8912,155.859275,1,2,Building
0.025,174.637875,179.001975,173.80635,177.325025,1,2,Building
0.105,179.04995,179.1049,177.1412,179.049525,2,2,Building
7.324999999999999,165.88545,176.22845,180.029975,175.8789,1,1,Building
0.19,185.492375,185.72665,179.18555,184.45345,1,2,Building
0.29750000000000004,206.4598,212.4033,206.6279,210.940675,1,1,Building
0.0025,171.6063,170.85715,207.31265,182.67925,1,1,Building
0.3175,192.95425,195.194425,192.284675,194.426325,1,2,Building
26.25,163.8011,168.6027,159.66005,165.81525,1,1,Building
17.015,158.78335,161.38765,155.55565,160.159775,1,4,Building
11.1425,172.0901,179.133,177.5463,180.20135,1,2,Building
9.7675,185.26915,191.42705,189.0772,190.5289,1,3,Building
0.057499999999999996,185.67545,190.161225,187.72935,190.3629,1,3,Building
0.5375,154.061125,157.33125,153.371175,156.129275,1,5,Building
14.424999999999999,171.561625,176.174775,170.708125,174.9553,1,1,Building
10.055,162.978875,164.921025,159.015075,163.649825,1,3,Building
0.43499999999999994,190.888325,203.313675,201.392475,203.6507,1,1,Building
0.31,195.631775,197.223325,195.815375,197.144,1,1,Building
11.8275,177.085875,177.828125,173.88115,178.149525,1,1,Building
0.43,214.30235,215.89945,217.52335,217.41405,1,2,Building
16.835,143.96095,154.12805,152.6743,153.96275,1,2,Building
43.735,111.5543,121.85215,107.7138,117.02275,1,1,Building
22.98,147.3748,156.3147,152.79665,155.77765,1,2,Building
69.39,126.18605,144.7976,122.78135,136.6355,1,2,Building
68.255,101.9258,115.51795,101.2568,109.84375,1,2,Building
14.854999999999999,151.0532,151.5315,150.71875,152.4571,1,1,Building
9.11,160.4496,159.6355,159.5189,160.74055,1,1,Building
5.2675,165.05945,169.343025,164.349075,167.398825,1,1,Building
5.0325,156.0266,161.871775,159.155625,160.40105,1,3,Building
36.8025,100.53415,107.408175,105.621625,105.83015,0,2,Building
3.32,150.313225,149.996075,149.93975,149.962775,1,1,Building
1.9224999999999999,151.079575,157.296425,161.0414,157.65225,1,2,Building
12.275,143.496225,151.40465,156.5755,151.91045,1,3,Building
33.3725,120.3753,132.0925,132.53925,130.75605,1,1,Building
7.585,152.597525,155.024025,151.533075,153.4391,1,3,Building
1.3275000000000001,176.9523,182.78475,180.48535,181.294875,1,1,Building
0.4075,168.38945,172.944425,168.024125,170.950425,1,2,Building
3.0075000000000003,138.801275,145.7687,152.04895,146.964825,2,4,Building
0.0,181.837125,194.15535,202.30565,195.373225,1,3,Building
1.9525000000000001,187.904425,202.398325,210.15795,203.4297,1,3,Building
0.095,170.53605,176.383775,206.78945,185.10105,1,2,Building
10.0625,137.355875,141.7625,144.27975,141.8673,2,3,Building
10.815,148.48945,145.0095,138.6826,143.48445,1,1,Building
1.26,147.5031,152.190375,150.01545,151.270675,1,2,Building
11.5925,150.3285,158.41925,159.475125,157.910125,1,1,Building
1.9300000000000002,166.04055,165.40115,157.968075,163.0517,1,4,Building
6.6625000000000005,157.3968,154.53855,143.64565,151.654325,1,6,Building
25.2375,116.90805,126.5996,126.6414,125.409875,1,3,Building
6.952500000000001,155.638875,158.769675,155.082175,157.4913,1,3,Building
4.577500000000001,148.918125,156.34045,152.3855,154.60385,2,3,Building
0.775,172.4803,179.525225,181.0168,179.350025,1,2,Building
16.4075,186.422675,190.690925,188.57105,189.8468,1,2,Building
8.03,183.58405,192.8156,194.024775,192.4211,1,3,Building
3.9225000000000003,146.199325,156.502175,157.8538,155.924825,1,3,Building
14.527499999999998,125.97515,133.302525,131.31735,131.815575,1,4,Building
6.432499999999999,118.7286,116.275925,114.172725,115.912725,0,2,Building
0.7125,148.835125,160.510175,163.9335,160.59325,2,3,Building
1.1199999999999999,197.9257,188.853225,185.497225,188.729775,1,1,Building
5.625,172.5308,170.099975,170.78065,170.287325,1,2,Building
25.305,138.757,146.312625,144.2643,144.865975,1,1,Building
3.95,135.49455,143.4826,143.3792,142.5655,1,1,Building
20.995,136.36555,160.71315,165.1208,159.2434,1,1,Building
14.069999999999999,139.30245,150.8743,150.64795,149.6969,1,2,Building
2.3449999999999998,170.3801,171.5223,175.71035,172.7229,1,1,Building
18.84,146.1932,155.30775,155.901,154.60115,1,2,Building
30.42,124.92655,134.69445,132.6756,133.04315,1,1,Building
7.17,167.70305,169.3607,171.29895,169.81105,1,1,Building
21.47,104.030025,110.316725,110.861075,109.035875,1,2,Building
10.6475,146.964025,151.467,153.946175,152.531325,2,3,Building
1.9725,166.20575,175.139525,176.764975,174.709225,1,2,Building
1.7049999999999998,164.7932,170.924875,169.388325,170.129225,1,2,Building
18.637500000000003,94.8555,103.857025,109.172625,104.4871,0,2,Building
2.6325000000000003,165.90145,170.098875,172.00885,170.34075,1,3,Building
3.105,161.344975,163.654725,157.583625,161.5641,1,3,Building
9.6625,149.354125,152.271375,162.6081,155.144375,1,2,Building
1.075,173.2629,175.03805,173.46625,174.291325,1,2,Building
12.3525,102.98235,104.773075,103.15555,103.83995,1,3,Building
16.467499999999998,143.93195,155.427975,155.84875,155.278375,1,3,Building
0.3275,184.781275,192.686875,194.186875,192.10835,1,1,Building
0.755,172.4763,176.0617,171.497275,174.806975,1,2,Building
10.102500000000001,123.236475,127.749825,131.663825,128.873225,2,4,Building
0.3425,165.15735,167.750675,164.43275,166.7523,1,2,Building
0.0125,183.035575,180.915825,163.976975,176.669475,1,1,Building
0.6025,155.1051,151.9744,179.8633,161.773,1,1,Building
0.005,176.07365,173.68405,162.736625,170.861125,1,1,Building
6.49,164.3965,159.904175,148.3881,156.993525,1,1,Building
0.6675,153.798875,163.836325,164.57345,163.8568,1,2,Building
4.3575,163.81765,175.753275,176.277925,175.103325,1,1,Building
0.36,178.80535,176.494675,170.535375,175.11155,1,1,Building
17.21,130.217625,137.480975,135.412425,136.3917,2,5,Building
0.58,174.2088,178.49735,178.56,178.742975,1,4,Building
2.6100000000000003,152.93775,157.03635,153.076975,155.65705,1,3,Building
27.0325,100.288375,110.016625,111.4009,109.3853,1,4,Building
10.397499999999999,152.767575,155.772425,144.151775,152.452,1,2,Building
14.75,138.227375,148.60305,142.577825,146.40315,1,4,Building
5.27,155.1157,167.594625,164.5984,165.516275,1,3,Building
11.9975,170.5051,172.583425,164.182475,170.14995,1,4,Building
24.245,159.53915,164.456475,163.690325,164.3449,1,1,Building
11.97,187.651775,192.158175,191.263175,191.890425,1,1,Building
13.205,139.145825,146.5803,146.18425,146.1586,1,2,Building
9.0175,124.484075,126.9879,120.983625,125.2564,1,1,Building
4.345000000000001,132.295375,139.135025,137.602225,139.033225,2,4,Building
5.3475,152.446375,162.9835,158.55025,161.033175,1,4,Building
15.61,152.90605,149.144225,145.341575,148.023,1,2,Building
1.6025,197.47105,195.060625,195.9899,195.57745,1,1,Building
0.9650000000000001,146.2753,154.3018,156.4163,154.53315,1,2,Building
7.9750000000000005,132.7823,136.45505,132.31565,135.316,1,1,Building
3.375,142.864,153.3997,148.398,151.71685,1,1,Building
1.87,161.03375,174.01265,167.75185,170.8933,1,2,Building
28.155,143.84005,143.1078,140.1253,142.1849,1,2,Building
9.950000000000001,165.06965,164.9667,158.290525,163.379325,1,3,Building
5.6575,180.06325,182.486775,175.86775,180.55915,1,2,Building
26.700000000000003,145.1412,153.781125,149.661875,151.60225,1,1,Building
36.2275,102.709275,112.274475,113.0623,111.38995,1,1,Building
0.65,190.2489,194.68615,192.517075,194.17725,1,4,Building
3.4174999999999995,185.1232,188.502675,187.609075,187.83045,2,3,Building
1.7274999999999998,182.475725,191.667875,192.88925,191.628,1,6,Building
2.9475000000000002,156.7492,163.911375,168.394125,165.254675,2,2,Building
5.3100000000000005,186.78315,191.814625,213.79365,198.017475,1,2,Building
0.445,197.277075,203.928175,209.067925,204.835825,1,2,Building
24.825,143.739475,140.49465,118.16935,134.246825,1,4,Building
26.542500000000004,139.622275,140.675125,123.378625,135.5526,1,2,Building
0.7849999999999999,190.330825,192.2173,187.868225,191.54995,1,3,Building
1.1975,195.736775,196.59855,188.288525,194.175275,1,3,Building
6.895,168.7232,174.032775,167.87965,172.020475,1,4,Building
6.819999999999999,141.965625,147.9336,149.759525,148.154125,1,1,Building
0.6625,187.046425,192.3902,222.210475,200.9947,1,2,Building
0.0,197.4662,202.446875,206.7062,203.477125,1,1,Building
6.557499999999999,216.527075,217.668175,214.55255,216.6259,1,1,Building
0.415,219.921525,229.618975,229.8644,229.056875,1,1,Building
0.0,219.292625,228.439375,229.419225,227.953475,1,1,Building
0.0,217.283575,221.478325,223.1647,221.730575,1,1,Building
4.445,182.918875,182.000825,177.118325,181.71145,1,4,Building
0.7675000000000001,209.74105,209.5257,206.04935,208.894,1,2,Building
1.6075,194.454725,194.3199,190.99695,193.792125,1,2,Building
5.885,199.619325,208.146,208.402325,207.650875,1,4,Building
11.7575,186.685875,194.472625,184.6384,191.0486,1,3,Building
10.81,189.715875,199.7874,197.173975,198.0064,1,2,Building
30.7375,181.063775,193.536125,188.9304,190.8438,1,3,Building
28.6175,152.204775,151.288425,141.62325,147.44245,1,1,Building
37.0275,141.225625,145.41075,138.574,142.8327,1,2,Building
0.105,181.98685,191.6241,197.8298,192.92275,1,4,Building
11.155,194.57105,205.92705,209.3312,206.0213,1,1,Building
0.0,234.1526,233.54565,235.11265,234.08235,1,1,Building
12.6,185.4887,185.7492,184.77825,185.12585,1,1,Building
11.97,184.3203,184.8806,183.7528,184.6968,1,1,Building
30.1575,118.600525,119.560575,103.786325,114.489625,1,4,Building
0.0,158.050325,153.680175,147.397325,152.29945,1,3,Building
20.255000000000003,164.739825,174.365125,170.437325,172.902925,1,6,Building
3.4825000000000004,190.415425,195.5373,192.35095,194.3359,1,3,Building
9.925,169.903225,177.584475,180.543525,178.16205,1,1,Building
0.0,212.3377,217.518675,220.100075,218.174025,1,3,Building
1.175,207.62825,213.24525,222.5226,216.421025,1,2,Building
0.13999999999999999,211.3381,214.677275,224.00775,217.71565,1,1,Building
28.042499999999997,133.107125,145.2027,143.02425,143.0942,1,2,Building
71.0925,73.988275,88.660525,74.99115,82.44415,1,1,Building
36.83,114.34955,117.26765,102.8736,112.5769,2,3,Building
27.62,128.759975,131.8071,121.131675,128.274875,1,2,Building
59.0375,86.14345,102.95705,96.88555,99.18115,1,1,Building
17.8275,165.6219,174.3825,169.3057,172.69785,1,5,Building
0.49500000000000005,194.234575,198.425025,194.078925,196.788575,1,1,Building
4.8425,177.400675,183.562475,186.0222,184.10055,1,2,Building
0.5075,203.105825,209.490875,213.46615,210.352225,1,4,Building
3.3274999999999997,195.981025,203.042875,214.15635,206.513525,1,2,Building
0.5175,202.4471,206.0602,216.38965,209.480175,1,3,Building
29.81,130.839575,142.31775,138.8439,139.910275,1,2,Building
24.0125,142.595875,152.854475,146.564225,149.80065,1,1,Building
1.53,185.051,186.51985,183.74825,186.174925,1,2,Building
0.0,210.43375,219.623525,221.325725,219.281075,1,1,Building
6.115,185.08775,183.1424,173.4463,181.059125,1,2,Building
27.245,139.401175,146.28875,140.0738,143.6444,1,4,Building
8.450000000000001,171.79605,178.9498,178.61415,178.4939,1,2,Building
9.235,183.15,190.5584,186.32595,189.0961,1,2,Building
1.8800000000000001,201.72505,210.5548,208.40785,209.1034,1,1,Building
29.404999999999998,147.04405,154.3616,149.63235,152.14375,1,2,Building
0.22499999999999998,218.81275,218.28755,215.5015,218.32135,1,2,Building
40.794999999999995,150.6527,165.90815,160.06245,162.6112,1,1,Building
0.017499999999999998,159.471975,164.152275,165.770275,164.081525,1,4,Building
9.94,174.74905,183.017275,179.00155,181.74335,1,3,Building
2.09,158.13765,163.6683,158.2792,161.684225,1,2,Building
9.925,157.399925,166.06465,162.4249,164.531175,1,2,Building
2.09,158.13765,163.6683,158.2792,161.684225,1,2,Building
5.6575,130.85575,135.082225,133.0837,134.763825,1,3,Building
8.555,147.6382,155.22545,155.41665,154.9085,1,3,Building
5.6575,130.85575,135.082225,133.0837,134.763825,1,3,Building
0.39249999999999996,173.322525,178.22025,178.663875,177.78465,1,2,Building
8.05,174.024475,183.2739,192.549525,185.3038,1,3,Building
1.0975000000000001,167.106275,172.020425,171.68335,171.597775,1,4,Building
3.2825,186.21555,191.5808,204.559625,195.021375,1,2,Building
1.0975000000000001,167.106275,172.020425,171.68335,171.597775,1,4,Building
3.6374999999999997,170.984925,176.3255,173.1375,174.90095,1,3,Building
12.2075,153.822825,159.681425,158.9453,158.8109,1,1,Building
3.6374999999999997,170.984925,176.3255,173.1375,174.90095,1,3,Building
