HSV Percentage,B Mean,G Mean,R Mean,Overall Mean,contours,OTSU,Class Name
10.9525,108.557675,113.040025,114.92205,112.9218,0,3,Road
12.575,120.654325,138.2996,141.275025,136.703075,0,4,Road
16.8125,125.29845,140.546325,141.45625,138.67325,1,2,Road
16.4725,145.763,156.88475,156.168675,155.051025,1,3,Road
26.875,109.0854,137.226425,139.037,134.14075,1,6,Road
9.155000000000001,115.71325,119.28185,122.27995,119.31385,0,3,Road
44.95,102.259925,124.950275,123.2109,121.589375,1,2,Road
70.7825,71.72385,105.0589,86.44085,95.4173,0,3,Road
16.885,102.440625,112.114725,115.190525,111.765075,0,3,Road
12.8575,111.459925,120.027325,123.773475,119.887175,0,3,Road
17.752499999999998,145.1923,155.377025,154.14115,153.988175,1,3,Road
38.2175,108.615225,129.10145,128.296125,126.294425,2,1,Road
13.685,114.69985,119.9082,120.9515,119.39465,0,3,Road
32.0075,117.320875,141.90255,140.191475,138.3826,1,2,Road
43.665,92.62875,104.56125,99.1932,101.26635,0,2,Road
27.6725,117.064625,124.66245,118.2871,121.464175,3,2,Road
9.0125,138.958825,150.99515,153.357175,149.749375,1,4,Road
6.697500000000001,115.917625,124.089225,129.419625,124.62035,0,3,Road
9.2275,149.540025,155.81875,155.69265,154.574925,2,5,Road
8.18,161.284375,173.163375,177.713825,173.2648,1,3,Road
14.27,141.1889,153.188825,157.27695,153.002775,1,1,Road
30.915,94.3269,92.7444,83.77935,90.01465,0,2,Road
5.41,136.292075,137.942275,140.5083,138.381875,1,3,Road
23.4575,121.6563,136.035475,135.2887,133.8419,0,4,Road
21.307499999999997,147.256075,156.900825,151.74795,154.643675,2,2,Road
3.3924999999999996,147.911025,152.247925,157.773425,153.31045,1,2,Road
24.125,144.639675,157.614825,153.312325,154.524025,1,3,Road
37.519999999999996,109.7402,130.879625,132.617925,128.6541,1,3,Road
26.105,115.535,116.9747,112.1011,115.1684,1,2,Road
20.255000000000003,123.380625,141.32815,145.019725,140.215475,1,3,Road
17.150000000000002,140.5415,142.6953,138.75725,140.83215,1,1,Road
23.995,125.212175,140.140925,141.750875,138.65025,1,1,Road
61.695,97.582325,136.572725,123.8748,128.08155,0,7,Road
0.7775,147.7703,146.4801,148.33255,146.9938,1,2,Road
59.07249999999999,93.329975,124.4964,112.9676,117.295975,1,1,Road
32.865,112.0191,128.40835,125.17135,125.165075,1,2,Road
11.75,149.907325,164.6596,169.946375,164.192175,1,2,Road
34.2225,131.234575,149.622725,147.7379,147.044975,1,1,Road
33.027499999999996,121.0586,136.507425,136.356875,134.5265,1,3,Road
22.27,112.665,128.554425,130.04715,126.876325,1,1,Road
63.970000000000006,64.38005,95.5974,82.6495,87.52315,0,3,Road
17.1625,113.69805,128.845725,132.436425,127.726425,1,5,Road
18.0525,122.04385,141.266625,145.17285,139.933425,1,2,Road
26.0375,102.67235,119.2797,117.476525,116.646625,0,2,Road
32.269999999999996,83.7446,99.08345,98.8679,96.6348,0,5,Road
45.0325,61.655675,80.214975,73.62075,75.28425,0,3,Road
34.1525,102.954825,121.02445,119.59355,118.4367,0,2,Road
13.145000000000001,112.84715,126.46885,132.7204,126.55835,1,3,Road
24.505,107.19505,127.51215,127.35185,124.8498,1,7,Road
43.5725,99.179975,122.3969,114.8619,117.11045,1,4,Road
43.987500000000004,83.815425,108.338175,103.6877,103.68435,0,3,Road
18.645,125.77125,131.103025,130.43225,129.71855,1,3,Road
44.6425,90.05245,124.1251,122.7193,119.75405,0,4,Road
24.7375,122.5543,143.118425,144.925,141.071275,2,3,Road
37.6025,109.572075,127.94025,124.046125,124.481175,1,2,Road
40.0425,106.04825,121.212475,114.909025,117.366325,1,2,Road
38.6025,95.252025,119.464975,120.6001,116.770475,0,3,Road
22.84,123.08,135.55685,137.58005,134.656,1,2,Road
29.409999999999997,123.6801,138.6272,141.09835,137.4767,1,2,Road
34.300000000000004,107.02105,122.874425,119.43505,119.77,1,2,Road
27.155,140.56255,154.12575,150.2706,151.098875,1,3,Road
46.995,65.26915,74.485525,66.9913,70.57165,1,3,Road
56.942499999999995,98.142025,124.530475,118.01975,119.32265,1,1,Road
55.495000000000005,79.5236,95.294225,87.051525,90.4778,0,1,Road
22.225,138.951125,152.186775,151.226475,150.148375,2,4,Road
22.9475,113.9036,125.293475,125.080425,123.533525,1,3,Road
31.680000000000003,109.30095,127.092975,128.300875,125.10975,1,2,Road
9.605,151.394375,160.32565,165.979,160.52165,1,2,Road
58.785,88.760775,109.526875,102.797725,104.6788,1,5,Road
21.4975,157.3281,166.929925,163.43315,164.48795,1,3,Road
40.9225,103.465,117.439475,111.585975,113.63715,1,1,Road
30.855,105.912775,127.123275,125.6716,123.905875,0,2,Road
31.979999999999997,115.57455,123.79185,115.263075,119.765,1,4,Road
14.122499999999999,133.146825,141.765575,143.880175,141.226175,1,5,Road
4.725,115.98585,114.8002,116.63965,115.429,0,1,Road
41.32,77.387325,86.64705,77.58715,82.0938,1,2,Road
10.2,160.740175,169.885275,170.23265,169.058075,1,2,Road
29.1275,149.33945,158.93465,151.56915,155.7651,1,3,Road
38.587500000000006,89.4328,111.143725,110.553675,108.135475,0,2,Road
45.387499999999996,76.2286,83.867775,77.736475,80.4724,1,3,Road
