HSV Percentage,B Mean,G Mean,R Mean,Overall Mean,contours,OTSU,Class Name
21.94,151.808925,162.000925,156.88435,159.359925,1,3,Building
1.18,211.0593,209.996175,203.9855,209.2304,1,4,Building
0.59,183.813375,188.652875,186.81,187.901075,1,3,Building
0.042499999999999996,215.1844,220.93145,222.31665,221.279575,1,2,Building
22.5675,154.2901,153.9322,146.32405,151.599625,1,3,Building
0.8175,188.326625,194.20595,191.845225,193.56695,1,1,Building
2.1575,201.540125,207.724525,219.694025,211.357175,1,3,Building
4.8975,179.31895,176.64205,170.76495,175.0276,1,3,Building
0.2725,162.409575,158.6839,178.789,165.3717,1,1,Building
0.0025,215.941075,220.842175,231.1082,223.8574,1,2,Building
7.2749999999999995,161.827675,160.191175,153.7317,158.3914,1,2,Building
0.2225,143.5364,138.6963,125.8155,135.570375,2,2,Building
1.8925,196.743125,195.43925,190.642675,194.53955,1,2,Building
9.3575,170.1017,174.917325,173.7513,174.179525,1,1,Building
26.395000000000003,140.135225,142.120575,133.5918,139.2406,1,1,Building
10.397499999999999,152.767575,155.772425,144.151775,152.452,1,2,Building
16.37,149.945025,150.300675,138.7363,146.767875,1,1,Building
14.75,138.227375,148.60305,142.577825,146.40315,1,4,Building
5.4225,146.17495,148.1666,141.55935,146.447925,1,2,Building
5.27,155.1157,167.594625,164.5984,165.516275,1,3,Building
1.87,179.61135,193.3605,190.5977,191.32795,1,3,Building
11.9975,170.5051,172.583425,164.182475,170.14995,1,4,Building
1.525,178.75415,186.264925,183.476825,184.814375,1,2,Building
6.88,183.288425,185.497075,182.7569,184.727675,1,3,Building
16.7775,173.85435,172.032775,161.811225,170.01565,1,1,Building
15.467500000000001,168.04675,176.646775,170.087875,174.3396,1,2,Building
24.245,159.53915,164.456475,163.690325,164.3449,1,1,Building
0.3525,204.976725,200.16065,185.968575,196.486325,1,1,Building
24.5525,122.646625,124.898675,117.8779,123.01365,1,1,Building
1.1375,205.88435,211.205575,206.205375,209.197025,1,1,Building
11.97,187.651775,192.158175,191.263175,191.890425,1,1,Building
0.6224999999999999,175.8277,172.394075,161.266975,169.57365,1,2,Building
30.070000000000004,127.262225,130.603825,125.88095,128.703075,1,2,Building
0.4525,188.52465,194.926675,192.785875,194.073325,1,3,Building
9.105,180.05095,183.202325,178.297725,181.64295,1,3,Building
33.695,156.577775,163.0259,158.140125,161.1222,1,1,Building
33.1525,123.662025,134.876425,134.284425,133.3794,1,1,Building
49.7475,116.6689,127.229925,120.7402,124.269425,1,1,Building
13.205,139.145825,146.5803,146.18425,146.1586,1,2,Building
9.0175,124.484075,126.9879,120.983625,125.2564,1,1,Building
0.8375,195.552775,206.570525,212.96055,207.4253,1,1,Building
2.8649999999999998,195.68455,202.4508,202.599275,202.19635,1,2,Building
0.365,192.656725,188.3538,177.09425,185.655225,1,2,Building
2.79,196.743075,204.21005,219.315475,208.33505,1,3,Building
0.49500000000000005,208.598825,204.10985,184.683825,199.674825,1,1,Building
0.8425,192.48205,193.03275,192.114975,193.2597,1,2,Building
0.005,205.917425,210.8463,220.977875,213.80995,1,2,Building
0.065,175.307575,168.041825,185.290875,175.3673,2,3,Building
6.6175,163.6992,167.8154,166.557925,167.162875,1,5,Building
0.305,160.02375,152.93395,136.57985,149.388275,1,3,Building
15.870000000000001,153.671375,164.480925,162.467975,163.139075,1,1,Building
7.7375,196.231175,200.70245,196.1613,199.090875,1,1,Building
4.345000000000001,132.295375,139.135025,137.602225,139.033225,2,4,Building
31.055,159.238125,158.591475,143.071125,154.440425,1,2,Building
23.0025,132.981475,142.617925,136.296625,140.105225,1,4,Building
2.0625,182.1047,185.371725,181.165675,184.473225,1,2,Building
29.835,118.947525,119.42165,111.38365,116.151875,1,2,Building
5.3475,152.446375,162.9835,158.55025,161.033175,1,4,Building
24.79,154.503875,153.786975,141.1528,150.418325,1,3,Building
14.302500000000002,149.50755,162.802375,160.6465,161.16925,1,3,Building
0.01,209.428775,220.0111,221.184375,219.771425,1,1,Building
47.5075,120.00035,125.4327,111.22695,120.42915,1,2,Building
53.2925,104.8477,121.52285,112.2636,116.776675,1,1,Building
18.5775,177.76965,187.288975,185.754375,185.835425,1,1,Building
15.61,152.90605,149.144225,145.341575,148.023,1,2,Building
1.6025,197.47105,195.060625,195.9899,195.57745,1,1,Building
17.0875,161.2675,157.924075,147.749075,156.27615,2,2,Building
39.25,141.8103,149.0255,142.5452,146.4766,1,3,Building
5.5675,178.564625,176.484325,172.760925,175.216325,1,1,Building
7.6975,175.075325,179.0387,175.130625,178.0906,1,3,Building
5.425,203.584475,201.447625,186.365425,197.539425,1,2,Building
33.0175,104.214675,106.022625,100.576275,104.039875,1,2,Building
7.3325000000000005,184.5051,183.89605,173.540575,181.2829,1,4,Building
5.2749999999999995,151.0767,149.080725,138.2978,145.923625,1,2,Building
8.08,162.6424,157.089925,151.253875,155.78235,1,3,Building
18.029999999999998,160.0563,162.217975,152.16175,159.14675,1,3,Building
0.9650000000000001,146.2753,154.3018,156.4163,154.53315,1,2,Building
7.9750000000000005,132.7823,136.45505,132.31565,135.316,1,1,Building
8.004999999999999,173.74405,187.2823,190.0181,187.14775,1,3,Building
11.61,143.65025,149.4147,146.4199,148.3239,1,1,Building
0.0,195.36795,191.8185,181.559,189.373,1,1,Building
34.260000000000005,94.96565,102.73365,96.9274,100.2345,1,1,Building
0.86,212.00255,208.717,189.8196,204.186,1,1,Building
0.025,176.5757,169.35935,189.23695,177.4709,1,2,Building
0.06999999999999999,159.5957,151.9556,135.66605,148.3656,1,1,Building
36.625,118.73705,116.64055,102.9388,112.79765,1,1,Building
7.03,192.103,201.39325,199.1577,200.28285,1,3,Building
3.375,142.864,153.3997,148.398,151.71685,1,1,Building
5.325,206.7138,205.8645,190.6047,201.88705,1,2,Building
38.795,141.3795,155.9858,141.40745,150.3519,1,3,Building
4.5,112.69825,116.97755,116.8363,117.1578,0,1,Building
12.575,176.4947,185.3258,178.0986,182.7305,1,2,Building
1.87,161.03375,174.01265,167.75185,170.8933,1,2,Building
0.655,206.1922,209.5623,197.109,206.1907,1,1,Building
2.98,161.66705,176.78685,175.9016,175.27585,1,3,Building
3.16,199.60495,209.77705,206.1569,207.7835,1,1,Building
15.42,165.6363,161.6158,148.23635,158.39225,1,1,Building
11.99,183.2842,191.44285,190.01475,190.494,1,1,Building
28.155,143.84005,143.1078,140.1253,142.1849,1,2,Building
5.41,170.92765,164.055,154.08565,162.29415,1,3,Building
0.125,192.4249,202.04075,205.9037,202.55405,1,3,Building
16.400000000000002,133.46255,133.82925,132.64635,133.3507,1,1,Building
43.885000000000005,88.73015,99.59385,91.54825,95.5718,1,1,Building
0.08499999999999999,227.83815,228.926,227.19355,228.9602,1,2,Building
34.144999999999996,125.04515,127.69525,113.2813,123.1627,1,2,Building
35.394999999999996,115.6991,122.86005,115.6511,119.9056,1,2,Building
4.8500000000000005,206.85535,211.57765,208.2865,210.54235,1,2,Building
27.425,128.2736,132.94275,131.03015,131.96065,2,2,Building
9.295,161.080925,166.732825,166.498025,166.48775,2,2,Building
2.5875,171.6521,176.933025,170.82485,174.813475,1,1,Building
0.67,165.5064,170.91615,165.659175,169.418075,1,3,Building
47.660000000000004,92.9984,101.35355,85.476775,95.343625,1,3,Building
39.225,146.1685,159.06925,156.2172,156.60885,2,2,Building
22.5775,96.41395,101.166325,104.050925,101.46055,1,1,Building
8.02,162.2597,167.737475,167.0426,167.152475,1,2,Building
2.12,173.282075,179.0989,178.179475,178.2479,1,3,Building
4.1975,167.1145,171.660925,180.614375,173.768475,1,2,Building
2.67,169.3283,172.572925,171.75405,172.07945,1,2,Building
11.379999999999999,163.4023,172.478775,170.98095,171.611725,1,1,Building
0.0,198.16655,202.705425,198.116525,200.800075,1,1,Building
0.5025,172.171775,175.53835,169.909775,174.137925,2,5,Building
13.805,113.09375,115.118775,116.518025,115.31215,1,2,Building
0.045,176.571325,181.782375,181.047125,181.071525,1,2,Building
11.505,149.32565,144.2175,140.0273,143.38725,1,2,Building
0.0,196.78145,201.0735,194.397375,199.1138,1,1,Building
0.0,172.91175,173.0163,203.474375,182.632225,1,2,Building
0.1975,162.58725,162.66615,157.997175,161.508375,1,1,Building
38.3325,122.8653,129.28055,119.93315,125.584425,1,1,Building
9.6825,158.495275,159.357425,153.94665,158.148125,1,2,Building
4.6425,177.96945,185.33195,183.110725,184.32115,1,1,Building
22.747500000000002,149.0968,153.480825,149.3884,151.88915,1,1,Building
14.2925,148.43865,156.354025,153.7178,155.3191,2,4,Building
0.54,176.001275,180.304475,176.059775,178.7647,2,4,Building
0.6025,156.147125,160.8158,155.921475,159.112275,1,4,Building
0.0,229.44175,227.697,226.878,227.7608,1,2,Building
25.687500000000004,100.72935,105.4197,102.793575,104.141575,1,3,Building
20.3425,136.499975,142.7404,139.40065,141.314925,1,2,Building
13.255,153.042075,156.5702,149.824675,154.821025,1,3,Building
7.1775,172.620675,182.4553,178.867125,180.718825,1,3,Building
28.542499999999997,143.9584,150.2676,143.67875,148.0043,1,2,Building
0.0,222.4635,224.474425,225.463925,225.4518,1,3,Building
0.0,212.122975,214.9295,216.2665,215.638525,1,3,Building
41.8775,132.687475,140.769075,135.672075,138.5848,1,1,Building
34.96,108.512,113.5949,108.3151,111.28665,1,1,Building
13.395000000000001,115.8754,122.4441,122.48885,122.0747,1,2,Building
40.88,138.34225,145.99175,138.99955,142.69075,1,1,Building
33.815,108.9628,116.98405,108.33955,113.9333,1,3,Building
30.895,134.5059,146.28145,139.34845,142.90805,1,2,Building
79.755,74.85335,86.0403,69.6653,79.58535,0,1,Building
12.795000000000002,158.0311,157.56785,157.3493,157.41695,1,1,Building
19.77,144.11095,143.1971,139.97845,142.21215,1,1,Building
1.1875,173.4084,178.654,174.741075,178.4867,1,3,Building
2.255,151.39345,155.397125,150.1652,154.2861,1,2,Building
1.375,182.861325,188.490375,187.8221,187.924525,1,3,Building
3.9875000000000003,175.428825,181.6654,181.31155,181.030225,1,3,Building
5.2124999999999995,169.681425,173.9572,182.5691,176.083725,1,2,Building
45.0,116.12235,121.55255,113.51145,118.5408,1,1,Building
2.2025,185.204975,190.0856,190.660375,189.702225,1,2,Building
24.337500000000002,143.6081,157.60415,153.8912,155.859275,1,2,Building
